15-Feb-25 19:27:26 - Length of trainig data is  2119719
15-Feb-25 19:27:31 - Vocaab training legth to 2119719
15-Feb-25 19:27:31 - Training Non contextual tokeniser
15-Feb-25 19:27:32 - Training of Vocabulary complete
15-Feb-25 19:27:32 - Sentence: The Cat sat on the Fence
15-Feb-25 19:27:32 - Tokens:  ['The▁', 'C', 'at▁', 'sat▁', 'on▁', 'the▁', 'F', 'en', 'ce▁']
15-Feb-25 19:27:32 - Token IDs: [50, 1972, 53, 1106, 58, 15, 1971, 23, 122]
15-Feb-25 19:27:32 - Token folder already exisitng: ./train_tokens Not overwriting
15-Feb-25 19:27:32 - vocab_size=2000 embedding_dim/d_model=512
15-Feb-25 19:27:33 - Training model...
15-Feb-25 19:28:31 - [Epoch=1 | Batch=4150] loss=5.1447
15-Feb-25 19:28:31 - [Epoch=1 | Batch=4175] loss=5.1116
15-Feb-25 19:28:31 - [Epoch=1 | Batch=4200] loss=5.3950
15-Feb-25 19:28:32 - [Epoch=1 | Batch=4225] loss=5.3797
15-Feb-25 19:28:32 - [Epoch=1 | Batch=4250] loss=5.3819
15-Feb-25 19:28:32 - [Epoch=1 | Batch=4275] loss=5.3246
15-Feb-25 19:28:33 - [Epoch=1 | Batch=4300] loss=5.3302
15-Feb-25 19:28:33 - [Epoch=1 | Batch=4325] loss=5.1492
15-Feb-25 19:28:33 - [Epoch=1 | Batch=4350] loss=5.3666
15-Feb-25 19:28:34 - [Epoch=1 | Batch=4375] loss=5.2459
15-Feb-25 19:28:34 - [Epoch=1 | Batch=4400] loss=5.4109
15-Feb-25 19:28:34 - [Epoch=1 | Batch=4425] loss=5.4228
15-Feb-25 19:28:35 - [Epoch=1 | Batch=4450] loss=5.4275
15-Feb-25 19:28:35 - [Epoch=1 | Batch=4475] loss=5.4043
15-Feb-25 19:28:36 - [Epoch=1 | Batch=4500] loss=5.2794
15-Feb-25 19:28:36 - [Epoch=1 | Batch=4525] loss=5.2963
15-Feb-25 19:28:36 - [Epoch=1 | Batch=4550] loss=5.2600
15-Feb-25 19:28:37 - [Epoch=1 | Batch=4575] loss=5.3635
15-Feb-25 19:28:37 - [Epoch=1 | Batch=4600] loss=5.3968
15-Feb-25 19:28:37 - [Epoch=1 | Batch=4625] loss=5.2001
15-Feb-25 19:28:38 - [Epoch=1 | Batch=4650] loss=5.2639
15-Feb-25 19:28:38 - [Epoch=1 | Batch=4675] loss=5.3235
15-Feb-25 19:28:38 - [Epoch=1 | Batch=4700] loss=5.1817
15-Feb-25 19:28:39 - [Epoch=1 | Batch=4725] loss=5.2079
15-Feb-25 19:28:39 - [Epoch=1 | Batch=4750] loss=5.2444
15-Feb-25 19:28:39 - [Epoch=1 | Batch=4775] loss=5.3682
15-Feb-25 19:28:40 - [Epoch=1 | Batch=4800] loss=5.4057
15-Feb-25 19:28:40 - [Epoch=1 | Batch=4825] loss=5.0874
15-Feb-25 19:28:40 - [Epoch=1 | Batch=4850] loss=5.1541
15-Feb-25 19:28:41 - [Epoch=1 | Batch=4875] loss=5.2764
15-Feb-25 19:28:41 - [Epoch=1 | Batch=4900] loss=5.2713
15-Feb-25 19:28:41 - [Epoch=1 | Batch=4925] loss=5.3170
15-Feb-25 19:28:42 - [Epoch=1 | Batch=4950] loss=5.3612
15-Feb-25 19:28:42 - [Epoch=1 | Batch=4975] loss=5.3668
15-Feb-25 19:28:42 - [Epoch=1 | Batch=5000] loss=5.0012
15-Feb-25 19:28:43 - [Epoch=1 | Batch=5025] loss=5.1822
15-Feb-25 19:28:43 - [Epoch=1 | Batch=5050] loss=5.2197
15-Feb-25 19:28:44 - [Epoch=1 | Batch=5075] loss=5.2618
15-Feb-25 19:28:44 - [Epoch=1 | Batch=5100] loss=5.1021
15-Feb-25 19:28:44 - [Epoch=1 | Batch=5125] loss=5.1550
15-Feb-25 19:28:45 - [Epoch=1 | Batch=5150] loss=5.2426
15-Feb-25 19:28:45 - [Epoch=1 | Batch=5175] loss=5.2713
15-Feb-25 19:28:45 - [Epoch=1 | Batch=5200] loss=5.2250
15-Feb-25 19:28:46 - [Epoch=1 | Batch=5225] loss=5.1713
15-Feb-25 19:28:46 - [Epoch=1 | Batch=5250] loss=5.1641
15-Feb-25 19:28:46 - [Epoch=1 | Batch=5275] loss=5.1379
15-Feb-25 19:28:47 - [Epoch=1 | Batch=5300] loss=5.1178
15-Feb-25 19:28:47 - [Epoch=1 | Batch=5325] loss=5.0566
15-Feb-25 19:28:47 - [Epoch=1 | Batch=5350] loss=5.1361
15-Feb-25 19:28:48 - [Epoch=1 | Batch=5375] loss=5.2115
15-Feb-25 19:28:48 - [Epoch=1 | Batch=5400] loss=5.2112
15-Feb-25 19:28:48 - [Epoch=1 | Batch=5425] loss=5.2003
15-Feb-25 19:28:49 - [Epoch=1 | Batch=5450] loss=5.0656
15-Feb-25 19:28:49 - [Epoch=1 | Batch=5475] loss=4.8718
15-Feb-25 19:28:49 - [Epoch=1 | Batch=5500] loss=4.8273
15-Feb-25 19:28:50 - [Epoch=1 | Batch=5525] loss=4.8621
15-Feb-25 19:28:50 - [Epoch=1 | Batch=5550] loss=5.0545
15-Feb-25 19:28:50 - [Epoch=1 | Batch=5575] loss=5.0788
15-Feb-25 19:28:51 - [Epoch=1 | Batch=5600] loss=5.1068
15-Feb-25 19:28:51 - [Epoch=1 | Batch=5625] loss=5.0182
15-Feb-25 19:28:51 - [Epoch=1 | Batch=5650] loss=5.0132
15-Feb-25 19:28:52 - [Epoch=1 | Batch=5675] loss=4.9982
15-Feb-25 19:28:52 - [Epoch=1 | Batch=5700] loss=4.8526
15-Feb-25 19:28:53 - [Epoch=1 | Batch=5725] loss=4.9747
15-Feb-25 19:28:53 - [Epoch=1 | Batch=5750] loss=4.9493
15-Feb-25 19:28:53 - [Epoch=1 | Batch=5775] loss=4.9513
15-Feb-25 19:28:54 - [Epoch=1 | Batch=5800] loss=4.8805
15-Feb-25 19:28:54 - [Epoch=1 | Batch=5825] loss=4.9297
15-Feb-25 19:28:54 - [Epoch=1 | Batch=5850] loss=4.8777
15-Feb-25 19:28:55 - [Epoch=1 | Batch=5875] loss=5.0042
15-Feb-25 19:28:55 - [Epoch=1 | Batch=5900] loss=5.1352
15-Feb-25 19:28:55 - [Epoch=1 | Batch=5925] loss=5.1214
15-Feb-25 19:28:56 - [Epoch=1 | Batch=5950] loss=5.1316
15-Feb-25 19:28:56 - [Epoch=1 | Batch=5975] loss=5.0958
15-Feb-25 19:28:56 - [Epoch=1 | Batch=6000] loss=5.1523
15-Feb-25 19:28:57 - [Epoch=1 | Batch=6025] loss=4.8995
15-Feb-25 19:28:57 - [Epoch=1 | Batch=6050] loss=4.8280
15-Feb-25 19:28:57 - [Epoch=1 | Batch=6075] loss=4.8781
15-Feb-25 19:28:58 - [Epoch=1 | Batch=6100] loss=4.8424
15-Feb-25 19:28:58 - [Epoch=1 | Batch=6125] loss=4.7831
15-Feb-25 19:28:58 - [Epoch=1 | Batch=6150] loss=5.0526
15-Feb-25 19:28:59 - [Epoch=1 | Batch=6175] loss=5.0900
15-Feb-25 19:28:59 - [Epoch=1 | Batch=6200] loss=4.8488
15-Feb-25 19:29:00 - [Epoch=1 | Batch=6225] loss=5.0651
15-Feb-25 19:29:00 - [Epoch=1 | Batch=6250] loss=5.1384
15-Feb-25 19:29:00 - [Epoch=1 | Batch=6275] loss=5.1491
15-Feb-25 19:29:01 - [Epoch=1 | Batch=6300] loss=4.8411
15-Feb-25 19:29:01 - [Epoch=1 | Batch=6325] loss=4.7810
15-Feb-25 19:29:01 - [Epoch=1 | Batch=6350] loss=4.7420
